19500	7096,11080,19421,20551,25933
38250	10051,11447,14265,14318,15138
39750	4896
42000	13390,28180
47000	23549
65500	2452,5443,6050,6152,15018,15639,24196,29099,29202
69500	387,2929,3273,6352,10646,15315,17119,18196,18730,25346
83250	1731,4220,6174,7624,7989,25329,25753,28885
140500	3627,10480,14625,18730,23779
145750	11196,11578,24242
154500	5863,8689,10353,12168,13830,18805,21110,25424,25820,28621
154750	8943,11196
190500	20751
200250	9620,12352,25570
203750	4728
232000	361,7105,7868,12133,16311,17823,21865
236000	8637,17690,18275
239250	3068,3619,12647,18990,28481
252500	6199,18544,18805,23656,23861
266500	9657,10282
267250	679,2367,11679,20297
282500	1962,2683,12055
299750	11080,24601,24869
309750	4545,15365
317500	7868,22029
341000	9290,17958,26754
364250	11679
371250	7620,21110,25596
380000	554,1773,5620,12329,14174,22094
393250	4949,13093,20154,22306
415500	554,23164
417250	12068
418500	15138,18002
425500	8313,12285,17506,22094
434750	3228,4571,6104,16972,19394,19973,21911,27511
439000	647,2198,3228,3362,3390,6104,7868,12287,16821,21841,24060,25415,26404
448250	15911
452750	6672,14020,14796,15638,21865,24392
472000	3515,6211,14647,23584,25333
528250	155,2963,7096,8693,12977
563500	120,10778,22058,23928
567250	949,7105,7868,27791
573000	16653,18868,19615,19962
599750	9657,12285,18990,20297,27785
620500	934,4571,6352
621500	2683,6326,10102,16009,19126,19973,29099
691500	239,14498,14554,15390,19974,22664,23013,26288,27912,28641,29445
711500	4709,11052,17118,26722
725000	2257,17835,20902
731750	7692,9195,11196,15924,29008,29163
745750	3228,21071,24869
746000	155,3032,6571,7105,12435,21865
764000	16300,18990
776750	2963,3228,4329,12717,16939,18388,22359,26699,29084
791500	3627,8738,10329,14712,16606,20297,21050,23424,23492,24831
799000	1903,3555,8278,24553,25839,27791
832250	1831,18024,26670,27791,28859
835000	5848,8637,13878,14020,14048,16722,19632,25215
847750	12728,18024,21684,28169
848500	259,7286,9838,19891,23628,24977
854250	4571,9881
861750	23284,27791
887500	11080
887750	15019
892500	239,2669,3852,10306,15019,17180,18805,23403,23516
965500	25003,26378
969750	2367,2963,14020,17823
980000	3228,29099
981000	4949,4997,8662,8689,11176,12394,14020,14153,26608,27160
984500	2513,27791
1025250	13247
1046250	6621,18196,27791
1047000	21110
1063000	530,14165,15019,16376,20551,22280,22749,24196,24929,28481
1074500	9567,12606,16602
1074750	527,3699,10171,11080,11904,12220,12285,12747,21865,22556,27092
1086750	1084,7868,18977,22400,28791
1104500	2683,14294,18678,21110
1110750	3458,20578
1118250	2589,3068,6672,8278,11176,14794,15584,19096,24306,26665
1140750	6741,7868,12541,14261,15395,19421,22313
1165500	15423
1173500	5848,8049,8257,15661,20037,20143,24869
1181250	6672,8339,18932,21110,23284
1189000	4949,6548,11328,11679,12175,15019,16361,23612,23628
1194750	83,679,3627,4059,5306,6543,7400,7827,8637,20551,24669,25169,25366,27052
1240250	2160,12394,18392,20297
1244250	1691,4324,28183
1247000	25635
1319000	599,5797,10449
1324500	2198,5336,7868,8028,14482,27927
1338750	845,9620,12586
1365000	14580
1381000	8724,14261,17958,25329,29099
1446250	7105,20297,21217,23482
1459000	6147
1459750	16550
1492500	3926,6876,8637,11679,16540,21683,24886,28899
1517000	4808,7208,15086,16302,16376,19903,27205
1525000	2257,9620,11196
1528500	500,3627,4750,5799,7248,12977,18466,21092,22280,22749,23013,23774,23781,26546,28370
1530250	14120
1531250	4078,7026,10247,22179,22442
1561250	12352,13891,14261,17706,22973
1579250	4078,7105,9906,13020,24194,25424
1617250	2217,5077,11329,11951,12283,18002,19405,21533,23284,27791
1620500	1195,5833,12230,23735,28774
1622500	8148,12285,14020,18771,19179,19381
1629250	9120,18024,19891,21392,21758,24196,24601,29099
1661750	679,1731,3151,3324,9802,10840,14020,15315,15534,22342
1688750	3145,12220
1699500	16716,24715
1710500	1481,2729,7868,14780,25526,28065
1724250	3228,15269,15672,16176
1727500	3228,4452,7812
1758250	10038,12560,23676,27791,28463,28481
1767500	14626,20180
1782250	155,2568,14415,18024,19374,24460
1792000	6203,9301,13259,13390,16540,20154,20630,20979,23214,23351,28319
1793250	2033,14020,21067,27625
1806750	18558,20701,21683,26394
1812000	7868,11196
1832000	2198,7868,10916,11939,19221,25687
1838000	21372
1838750	16818
1904750	9138,15906,22484,23928,27314
1906000	2438,2683,9532,9567,12220,12285,21110
1909250	504,6326,10014,14209,15992,18180,20516,23470,24645
1911500	1047,3627,8689,8868,16110,21815,25500
1953250	2257,3658,6783,8313,11328,12394,14020,15639,23984
1966250	155,2257,3228,11052,16110,25260,26722
1969000	5987,12220,18002
1971500	3151,7096,7230,7654,7692,8316,11000,14415,19113,19166,21715,22043,24070,25329,26288,26860,27791
2033500	712,3627,4949,8689,11176,11465,12352,16110,18075,28270
2050000	5306,5620,10702,11022,12329,14242,15231,17960,18996,21659,24377,26127,26866
2076000	24886
2078000	7622,14902,16944,17449,17752,26608,27791
2088000	617,2198,10949,15019,21883
2103250	4220,6290,6724,7567,7822,11022,12394,13592,13737,14902,22280,23549,25219,28855
2132250	14159
2138750	14120
2148250	14294
2168250	7868
2182750	1539,18758,18808,19643
2187500	6158,12162,23628,27394,29203
2198750	9250,12220,12394,13054,16550,18024
2200750	2655,9315,12285,12674,14020,24506
2232500	679,4683,11000,11060,11679,14261,24929,28791
2251750	22727,23549
2253250	527,1031,18730,28975
2316250	9657,9688,10948,18180,26288
2331750	953,6529,7179,8628,10584,11201,17214,18805,19539,21092,22126,27179,28653
2350750	23779
2364500	21865
2378500	2367,2669,3228,10014,12886,18937,19974,23774,26619
2386250	948,1008,7061
2428500	13216,17153
2448250	949,12541,24669
2492500	11124,19005,20979,24340
2676250	4970,14535,15527
2688750	155,1739,3181,3774,15721,22749
2704750	3658,5764,13592
2733500	19824
2752000	2042,3032,3164,3313,5043,5667,11679,12243,14074,15820,22179,26728,27906
2756000	10115,13773,21092
2768250	16094,19026,23421
2771250	255,476,1494,2513,2963,14694,26314,29490
2788750	3804,7096,8842,10702,11176,11431,18515,23628,24274,26608
2797750	3658,28270
2807500	1010,1015,1253,3817,10014,10593,11329,12512,12688,18024,27117,29203
2823250	2610,25329
2852250	4647,8090,11682,21706
2870250	4003,7096,8327,14020,15096,17606,29363
2874500	3047,4172,7868,7910,10840,14914,28370
2882750	4452,29225
2891500	255,819,2257,3627,4949,8027,8724,11176,14161,14580,26722
2920750	12285,22359,22400,23407,23538,27155,29490
2921750	143,6880,7105,11035,11176,11201,25272,27791,29547
2940000	2683,11080,11272,11767,12168,12220,14580,15935,19835,24486,24519,25086,25260,26722
2968250	8637,11624,14273,16463,18805,27625
2975500	5086,7868,12352,14902,15934,16406,16939,19745,21865
2988000	6548,12606,15828,22482
3001000	679,4571,11080
